👦🏾 boy: medium-dark skin tone ; 1F466 1F3FE
👦🏿 boy: dark skin tone ; 1F466 1F3FF
👧 girl ; 1F467
👧🏻 girl: light skin tone ; 1F467 1F3FB
👧🏼 girl: medium-light skin tone ; 1F467 1F3FC
👧🏽 girl: medium skin tone ; 1F467 1F3FD
👧🏾 girl: medium-dark skin tone ; 1F467 1F3FE
👧🏿 girl: dark skin tone ; 1F467 1F3FF
🧑 person ; 1F9D1
🧑🏻 person: light skin tone ; 1F9D1 1F3FB
🧑🏼 person: medium-light skin tone ; 1F9D1 1F3FC
🧑🏽 person: medium skin tone ; 1F9D1 1F3FD
🧑🏾 person: medium-dark skin tone ; 1F9D1 1F3FE
🧑🏿 person: dark skin tone ; 1F9D1 1F3FF
👱 person: blond hair ; 1F471
👱🏻 person: light skin tone, blond hair ; 1F471 1F3FB
👱🏼 person: medium-light skin tone, blond hair ; 1F471 1F3FC
👱🏽 person: medium skin tone, blond hair ; 1F471 1F3FD
👱🏾 person: medium-dark skin tone, blond hair ; 1F471 1F3FE
👱🏿 person: dark skin tone, blond hair ; 1F471 1F3FF
👨 man ; 1F468
👨🏻 man: light skin tone ; 1F468 1F3FB
👨🏼 man: medium-light skin tone ; 1F468 1F3FC
👨🏽 man: medium skin tone ; 1F468 1F3FD
👨🏾 man: medium-dark skin tone ; 1F468 1F3FE
👨🏿 man: dark skin tone ; 1F468 1F3FF
🧔 man: beard ; 1F9D4
🧔🏻 man: light skin tone, beard ; 1F9D4 1F3FB
🧔🏼 man: medium-light skin tone, beard ; 1F9D4 1F3FC
🧔🏽 man: medium skin tone, beard ; 1F9D4 1F3FD
🧔🏾 man: medium-dark skin tone, beard ; 1F9D4 1F3FE
🧔🏿 man: dark skin tone, beard ; 1F9D4 1F3FF
👨‍🦰 man: red hair ; 1F468 200D 1F9B0
👨🏻‍🦰 man: light skin tone, red hair ; 1F468 1F3FB 200D 1F9B0
👨🏼‍🦰 man: medium-light skin tone, red hair ; 1F468 1F3FC 200D 1F9B0
👨🏽‍🦰 man: medium skin tone, red hair ; 1F468 1F3FD 200D 1F9B0
👨🏾‍🦰 man: medium-dark skin tone, red hair ; 1F468 1F3FE 200D 1F9B0
👨🏿‍🦰 man: dark skin tone, red hair ; 1F468 1F3FF 200D 1F9B0
👨‍🦱 man: curly hair ; 1F468 200D 1F9B1
👨🏻‍🦱 man: light skin tone, curly hair ; 1F468 1F3FB 200D 1F9B1
👨🏼‍🦱 man: medium-light skin tone, curly hair ; 1F468 1F3FC 200D 1F9B1
👨🏽‍🦱 man: medium skin tone, curly hair ; 1F468 1F3FD 200D 1F9B1
👨🏾‍🦱 man: medium-dark skin tone, curly hair ; 1F468 1F3FE 200D 1F9B1
👨🏿‍🦱 man: dark skin tone, curly hair ; 1F468 1F3FF 200D 1F9B1
👨‍🦳 man: white hair ; 1F468 200D 1F9B3
👨🏻‍🦳 man: light skin tone, white hair ; 1F468 1F3FB 200D 1F9B3
👨🏼‍🦳 man: medium-light skin tone, white hair ; 1F468 1F3FC 200D 1F9B3
👨🏽‍🦳 man: medium skin tone, white hair ; 1F468 1F3FD 200D 1F9B3
👨🏾‍🦳 man: medium-dark skin tone, white hair ; 1F468 1F3FE 200D 1F9B3
👨🏿‍🦳 man: dark skin tone, white hair ; 1F468 1F3FF 200D 1F9B3
👨‍🦲 man: bald ; 1F468 200D 1F9B2
👨🏻‍🦲 man: light skin tone, bald ; 1F468 1F3FB 200D 1F9B2
👨🏼‍🦲 man: medium-light skin tone, bald ; 1F468 1F3FC 200D 1F9B2
👨🏽‍🦲 man: medium skin tone, bald ; 1F468 1F3FD 200D 1F9B2
👨🏾‍🦲 man: medium-dark skin tone, bald ; 1F468 1F3FE 200D 1F9B2
👨🏿‍🦲 man: dark skin tone, bald ; 1F468 1F3FF 200D 1F9B2
👩 woman ; 1F469
👩🏻 woman: light skin tone ; 1F469 1F3FB
👩🏼 woman: medium-light skin tone ; 1F469 1F3FC
👩🏽 woman: medium skin tone ; 1F469 1F3FD
👩🏾 woman: medium-dark skin tone ; 1F469 1F3FE
👩🏿 woman: dark skin tone ; 1F469 1F3FF
👩‍🦰 woman: red hair ; 1F469 200D 1F9B0
👩🏻‍🦰 woman: light skin tone, red hair ; 1F469 1F3FB 200D 1F9B0
👩🏼‍🦰 woman: medium-light skin tone, red hair ; 1F469 1F3FC 200D 1F9B0
👩🏽‍🦰 woman: medium skin tone, red hair ; 1F469 1F3FD 200D 1F9B0
👩🏾‍🦰 woman: medium-dark skin tone, red hair ; 1F469 1F3FE 200D 1F9B0
👩🏿‍🦰 woman: dark skin tone, red hair ; 1F469 1F3FF 200D 1F9B0
🧑‍🦰 person: red hair ; 1F9D1 200D 1F9B0
🧑🏻‍🦰 person: light skin tone, red hair ; 1F9D1 1F3FB 200D 1F9B0
🧑🏼‍🦰 person: medium-light skin tone, red hair ; 1F9D1 1F3FC 200D 1F9B0
🧑🏽‍🦰 person: medium skin tone, red hair ; 1F9D1 1F3FD 200D 1F9B0
🧑🏾‍🦰 person: medium-dark skin tone, red hair ; 1F9D1 1F3FE 200D 1F9B0
🧑🏿‍🦰 person: dark skin tone, red hair ; 1F9D1 1F3FF 200D 1F9B0
👩‍🦱 woman: curly hair ; 1F469 200D 1F9B1
👩🏻‍🦱 woman: light skin tone, curly hair ; 1F469 1F3FB 200D 1F9B1
👩🏼‍🦱 woman: medium-light skin tone, curly hair ; 1F469 1F3FC 200D 1F9B1
👩🏽‍🦱 woman: medium skin tone, curly hair ; 1F469 1F3FD 200D 1F9B1
👩🏾‍🦱 woman: medium-dark skin tone, curly hair ; 1F469 1F3FE 200D 1F9B1
👩🏿‍🦱 woman: dark skin tone, curly hair ; 1F469 1F3FF 200D 1F9B1
🧑‍🦱 person: curly hair ; 1F9D1 200D 1F9B1
🧑🏻‍🦱 person: light skin tone, curly hair ; 1F9D1 1F3FB 200D 1F9B1
🧑🏼‍🦱 person: medium-light skin tone, curly hair ; 1F9D1 1F3FC 200D 1F9B1
🧑🏽‍🦱 person: medium skin tone, curly hair ; 1F9D1 1F3FD 200D 1F9B1
🧑🏾‍🦱 person: medium-dark skin tone, curly hair ; 1F9D1 1F3FE 200D 1F9B1
🧑🏿‍🦱 person: dark skin tone, curly hair ; 1F9D1 1F3FF 200D 1F9B1
👩‍🦳 woman: white hair ; 1F469 200D 1F9B3
👩🏻‍🦳 woman: light skin tone, white hair ; 1F469 1F3FB 200D 1F9B3
👩🏼‍🦳 woman: medium-light skin tone, white hair ; 1F469 1F3FC 200D 1F9B3
👩🏽‍🦳 woman: medium skin tone, white hair ; 1F469 1F3FD 200D 1F9B3
👩🏾‍🦳 woman: medium-dark skin tone, white hair ; 1F469 1F3FE 200D 1F9B3
👩🏿‍🦳 woman: dark skin tone, white hair ; 1F469 1F3FF 200D 1F9B3
🧑‍🦳 person: white hair ; 1F9D1 200D 1F9B3
🧑🏻‍🦳 person: light skin tone, white hair ; 1F9D1 1F3FB 200D 1F9B3
